change_order_id,co_number,project_id,contract_id,change_type,change_description,initiator,date_raised,review_start_date,approval_date,rejection_date,implementation_date,closure_date,status,priority,original_contract_value,change_order_value,co_percentage,is_increase,schedule_impact_days,impact_areas,justification,approver,num_revisions,num_documents,rejection_reason,risk_level,contingency_used_pct,notes,processing_days
CO00001,2,PROJ01310,CONT00229,Quantity Increase,Quantity Increase - Foundation Work,Project Manager,2025-08-17,2025-08-22,2025-09-20,,2025-09-24,,Implemented,High,3708708949.4,103121425.68,2.78,True,42,"Cost, Schedule",Site conditions,Technical Head,4,2,,Low,60.12,Approved with conditions,34
CO00002,38,PROJ00452,CONT00920,Quantity Increase,Quantity Increase - External Works,Client,2025-07-27,2025-07-30,2025-08-09,,,,Approved,Medium,3520883035.44,54336324.9,1.54,True,-6,"Cost, Schedule",Cost optimization,Project Manager,4,6,,Low,61.08,Under technical review,13
CO00003,25,PROJ01993,CONT01889,Design Change,Design Change - Facade,Site Engineer,2025-01-01,2025-01-04,2025-01-13,,2025-02-12,2025-03-03,Closed,Medium,2929025511.76,55685775.43,1.9,True,10,"Cost, Schedule",Cost optimization,CEO,2,4,,Medium,34.87,Schedule impact being assessed,12
CO00004,44,PROJ01438,CONT01919,Design Change,Design Change - Facade,Consultant,2025-05-01,2025-05-03,2025-05-28,,2025-06-26,2025-08-19,Closed,Critical,900672219.43,6918316.26,0.77,True,86,"Cost, Schedule, Resources",Regulatory compliance,Project Manager,3,6,,Low,24.77,Design team reviewing,27
CO00005,32,PROJ00436,CONT01343,Regulatory Requirement,Regulatory Requirement - Interior,Vendor,2025-08-13,2025-08-18,2025-09-16,,2025-10-07,,Implemented,Low,1397912815.84,-13005873.85,0.93,False,20,"Cost, Schedule",Quality enhancement,Client Representative,4,9,,Low,0.0,Urgent approval required,34
CO00006,10,PROJ01764,CONT00225,Schedule Change,Schedule Change - External Works,Regulatory Authority,2025-11-02,2025-11-07,2025-11-09,,2025-12-03,,Implemented,Medium,1985359827.21,39383264.25,1.98,True,14,"Cost, Schedule, Resources",Risk mitigation,CEO,2,3,,Medium,40.43,,7
CO00007,47,PROJ00007,CONT01954,Quantity Increase,Quantity Increase - Facade,Consultant,2024-08-05,2024-08-10,,2024-08-29,,,Rejected,Medium,4571876412.79,131225192.63,2.87,True,4,"Cost, Schedule",Design improvement,Client Representative,4,10,Cost too high,Medium,0.0,,24
CO00008,24,PROJ00040,CONT00230,Quantity Decrease,Quantity Decrease - Foundation Work,Client,2025-05-05,2025-05-06,2025-06-15,,2025-07-12,2025-07-25,Closed,Medium,4402247036.1,-47453573.37,1.08,False,-10,"Cost, Schedule, Resources",Schedule optimization,Client Representative,2,10,,Medium,0.0,Cost analysis in progress,41
CO00009,49,PROJ01903,CONT01105,Quality Upgrade,Quality Upgrade - Interior,Site Engineer,2024-11-24,2024-11-28,,2024-12-02,,,Rejected,Medium,4976231847.64,99232318.36,1.99,True,13,"Cost, Schedule, Quality",Regulatory compliance,Project Director,4,10,Schedule impact unacceptable,Low,0.0,Urgent approval required,8
CO00010,41,PROJ00146,CONT01450,Scope Reduction,Scope Reduction - Foundation Work,Contractor,2025-12-05,2025-12-09,2025-12-25,,,,Approved,Medium,4312213461.24,-5401152.79,0.13,False,-15,"Cost, Schedule, Scope",Unforeseen circumstances,Client Representative,3,8,,Low,0.0,Under technical review,20
CO00011,28,PROJ00199,CONT01350,Site Condition,Site Condition - Structure,Regulatory Authority,2024-09-15,2024-09-16,,,,,Cancelled,Critical,4332800067.01,-41874321.92,0.97,False,88,"Cost, Schedule, Resources",Cost optimization,Project Director,1,5,,Low,0.0,,
CO00012,12,PROJ00288,CONT00865,Quantity Increase,Quantity Increase - Structure,Project Manager,2025-10-21,2025-10-26,2025-10-28,,,,Approved,High,2271340650.76,129895620.19,5.72,True,20,"Cost, Schedule, Risk",Regulatory compliance,Commercial Manager,3,5,,High,73.17,Client approval pending,7
CO00013,25,PROJ00777,CONT00005,Quantity Increase,Quantity Increase - External Works,Vendor,2025-03-20,2025-03-24,2025-04-05,,2025-04-14,2025-05-07,Closed,High,2172736681.35,143811057.92,6.62,True,35,"Cost, Schedule, Risk",Client requirement,Technical Head,0,7,,Medium,13.51,,16
CO00014,34,PROJ01030,CONT01883,Schedule Change,Schedule Change - Building Wing,Contractor,2025-06-30,2025-07-01,2025-08-12,,,,Approved,High,435754530.25,-39805870.49,9.13,False,40,"Cost, Schedule, Risk",Unforeseen circumstances,Technical Head,0,8,,High,0.0,Schedule impact being assessed,43
