contract_id,vendor_id,vendor_name,contract_type,project_name,project_type,contract_value_lakhs,duration_months,start_date,planned_end_date,actual_end_date,status,percentage_complete,delivery_status,quality_rating,payment_terms,amount_paid_rs,retention_money_rs,penalty_amount_rs,penalty_reason,num_change_orders,change_order_value_lakhs,compliance_status,risk_level,signed_date,last_inspection_date,total_value_lakhs
CONT00001,VEN01310,Vendor 1310,Supply,Residential Building - Phase 3,Residential Building,22.56,4,2025-06-13,2025-10-11,,Awarded,12.22,Not Started,Excellent,Net 90 days,161771.68,0.0,0.0,None,0,0.0,Compliant,Low,2025-03-21,,22.56
CONT00002,VEN00860,Vendor 860,Consultancy,School - Phase 5,School,88.24,5,2023-07-27,2023-12-24,,Under Review,29.45,Not Started,Good,"Advance 20%, Balance 80%",2508480.89,0.0,0.0,None,1,9.05,Compliant,Low,2023-06-09,,97.28999999999999
CONT00003,VEN01653,Vendor 1653,Construction,IT Park - Phase 4,IT Park,975.8,18,2025-06-30,2026-12-22,,In Execution,31.23,At Risk,Average,"Advance 20%, Balance 80%",24844379.13,2484437.91,0.0,None,3,29.8,Compliant,Low,2025-05-09,2025-12-21,1005.5999999999999
CONT00004,VEN01752,Vendor 1752,Consultancy,Bus Terminal - Phase 1,Bus Terminal,508.07,17,2025-01-09,2026-06-03,,Under Review,34.87,Not Started,Average,As per milestones,12956987.4,0.0,0.0,None,2,81.34,Compliant,Low,2024-11-24,,589.41
CONT00005,VEN00335,Vendor 335,Turnkey,Wind Farm - Phase 3,Wind Farm,33799.99,59,2024-09-15,2029-07-21,,Under Review,69.0,Not Started,Average,Net 90 days,2054417709.55,0.0,0.0,None,4,3794.65,Compliant,Low,2024-06-20,,37594.64
CONT00006,VEN01795,Vendor 1795,Cost Plus,Power Plant - Phase 2,Power Plant,456.07,20,2025-02-19,2026-10-12,,Terminated,19.77,Not Started,Average,Letter of Credit,7820076.23,0.0,0.0,None,2,103.3,Compliant,Low,2025-01-07,,559.37
CONT00007,VEN00284,Vendor 284,Lump Sum,Shopping Mall - Phase 1,Shopping Mall,4444.41,16,2025-01-15,2026-05-10,,Awarded,51.75,Not Started,Good,Bank Guarantee,185720488.46,0.0,0.0,None,2,1081.54,Minor Issues,Low,2024-12-30,,5525.95
CONT00008,VEN01394,Vendor 1394,Cost Plus,Road Construction - Phase 5,Road Construction,4074.39,22,2025-04-24,2027-02-13,,Terminated,40.43,Not Started,Good,As per milestones,129056614.84,0.0,0.0,None,1,550.59,Compliant,Low,2025-03-27,,4624.98
CONT00009,VEN01783,Vendor 1783,Time & Material,Sewage Treatment Plant - Phase 5,Sewage Treatment Plant,237.56,11,2025-12-07,2026-11-02,,Under Review,44.2,Not Started,Excellent,"Advance 20%, Balance 80%",8413065.37,0.0,0.0,None,4,21.55,Compliant,Low,2025-09-11,,259.11
CONT00010,VEN01940,Vendor 1940,Supply,Industrial Plant - Phase 4,Industrial Plant,4911.94,29,2025-03-26,2027-08-13,,In Progress,36.18,On Time,Good,Bank Guarantee,156946943.59,15694694.36,0.0,None,1,707.51,Minor Issues,Low,2025-02-14,2025-11-22,5619.45
CONT00011,VEN00818,Vendor 818,Time & Material,Data Center - Phase 3,Data Center,565.82,9,2024-07-19,2025-04-15,,On Hold,14.48,Not Started,Excellent,Letter of Credit,6892042.87,0.0,0.0,None,1,20.56,Compliant,Low,2024-06-05,,586.38
CONT00012,VEN00139,Vendor 139,Construction,Bus Terminal - Phase 3,Bus Terminal,31.42,10,2024-09-26,2025-07-23,,In Execution,95.0,Delayed,Below Average,Bank Guarantee,2803891.52,280389.15,77342.88,Quality issues,4,2.0,Compliant,High,2024-07-18,2025-11-16,33.42
CONT00013,VEN00868,Vendor 868,Design & Build,School - Phase 1,School,985.75,9,2025-08-06,2026-05-03,,Awarded,60.97,Not Started,Average,Net 45 days,57654851.72,0.0,0.0,None,0,0.0,Compliant,Low,2025-05-29,,985.75
CONT00014,VEN00376,Vendor 376,Maintenance,School - Phase 2,School,1301.54,29,2025-05-22,2027-10-09,,Active,29.48,On Time,Poor,Net 90 days,36204363.99,3620436.4,0.0,None,2,90.02,Compliant,Medium,2025-04-30,2025-12-10,1391.56
CONT00015,VEN00777,Vendor 777,Construction,Wind Farm - Phase 3,Wind Farm,4140.52,21,2023-07-26,2025-04-16,,In Execution,95.0,Delayed,Good,Net 90 days,381063916.36,38106391.64,8065523.93,Delay in completion,2,795.12,Compliant,Medium,2023-04-28,2025-10-31,4935.64
CONT00016,VEN01030,Vendor 1030,Lump Sum,Metro Rail - Phase 1,Metro Rail,8605.02,35,2025-07-21,2028-06-05,2028-10-25,Completed,100.0,Critical Delay,Below Average,Progress Payment,850185331.35,43025079.68,34159527.8,Labor shortage,2,1397.95,Compliant,High,2025-04-23,2025-10-20,10002.970000000001
CONT00017,VEN01071,Vendor 1071,Annual Maintenance Contract,Water Treatment Plant - Phase 2,Water Treatment Plant,382.77,14,2023-09-20,2024-11-13,,In Progress,95.0,Delayed,Good,"Advance 20%, Balance 80%",32806758.82,3280675.88,200296.83,Delay in completion,2,57.22,Compliant,Medium,2023-06-29,2025-12-04,439.99
CONT00018,VEN01037,Vendor 1037,Maintenance,Bridge Construction - Phase 3,Bridge Construction,4517.08,23,2024-05-04,2026-03-25,,In Progress,87.6,At Risk,Good,"Advance 10%, Balance on completion",368085606.24,36808560.62,0.0,None,8,769.78,Compliant,Low,2024-02-09,2025-11-23,5286.86
CONT00019,VEN01909,Vendor 1909,Time & Material,Road Construction - Phase 2,Road Construction,90.07,11,2025-01-24,2025-12-20,,Terminated,29.72,Not Started,Good,"Advance 20%, Balance 80%",2493879.74,0.0,0.0,None,2,7.27,Compliant,Low,2025-01-03,,97.33999999999999
CONT00020,VEN00190,Vendor 190,Time & Material,Hospital - Phase 3,Hospital,40.02,5,2024-06-20,2024-11-17,,In Progress,95.0,Delayed,Average,Progress Payment,3577432.98,357743.3,27538.21,Delay in completion,4,9.12,Compliant,Medium,2024-04-19,2025-10-18,49.14
CONT00021,VEN01132,Vendor 1132,Service,Hospital - Phase 2,Hospital,42.82,3,2023-12-07,2024-03-06,,On Hold,57.74,Not Started,Average,"Advance 20%, Balance 80%",2138512.81,0.0,0.0,None,4,4.86,Compliant,Low,2023-11-03,,47.68
