invoice_id,vendor_id,vendor_name,contract_id,po_number,invoice_date,due_date,category,description,base_amount,gst_rate,gst_amount,total_amount,tds_rate,tds_amount,discount_amount,late_penalty,net_payable,amount_paid,invoice_status,payment_status,payment_method,payment_date,days_to_payment,days_overdue,approval_date,verified_by,rejection_reason,num_line_items,three_way_match,fraud_risk_score,fraud_flag,outstanding_amount
INV00001,VEN01310,Vendor 1310,CONT00229,PO9279,2025-12-12,2026-02-10,Advance Payment,Work completion for Advance Payment,381412.05,28,106795.37,488207.42,0,0.0,0,0.0,488207.42,0.0,Cancelled,Rejected,,,,0,,,None,2,,0.1204,No,488207.42
INV00002,VEN01150,Vendor 1150,CONT00408,PO6514,2024-03-12,2024-06-10,Advance Payment,Material supply and installation,1751858.19,0,0.0,1751858.19,1,17518.58,0,0.0,1734339.61,0.0,Cancelled,Rejected,,,,0,,,None,3,,0.0204,No,1734339.61
INV00003,VEN00779,Vendor 779,CONT00199,PO6925,2025-01-04,2025-03-05,Maintenance Charges,Services rendered - Maintenance Charges,69552.7,18,12519.49,82072.19,10,6955.27,0,8207.22,83324.13,0.0,Approved,Overdue,,,,308,2025-01-09,Procurement Head,None,9,Mismatch,0.4777,No,83324.13
INV00004,VEN01584,Vendor 1584,CONT00593,PO7216,2025-10-17,2025-12-01,Reimbursement,Progress billing - Month 10,175088.12,12,21010.57,196098.7,1,1750.88,0,0.0,194347.81,92827.39,Partially Paid,Partially Paid,Cheque,2025-12-13,57.0,0,2025-10-21,,None,9,Partial Match,0.1979,No,101520.42
INV00005,VEN01311,Vendor 1311,CONT01410,,2024-06-15,2024-07-30,Change Order Payment,Equipment rental charges,395741.11,0,0.0,395741.11,1,3957.41,0,67275.99,459059.69,0.0,Submitted,Overdue,,,,526,,,None,5,,0.3047,No,459059.69
INV00006,VEN01471,Vendor 1471,CONT00645,PO7543,2025-06-03,2025-09-01,Labor Charges,Material supply and installation,14642778.05,5,732138.9,15374916.96,2,292855.56,0,0.0,15082061.39,0.0,Rejected,Rejected,,,,0,,,Work Not Completed,12,,0.0724,No,15082061.39
INV00007,VEN00284,Vendor 284,CONT01044,PO1188,2024-08-19,2024-09-18,Overtime Charges,Equipment rental charges,99342.11,5,4967.11,104309.21,5,4967.11,0,15646.38,114988.49,0.0,Approved,Overdue,,,,476,2024-08-27,Site Engineer,None,10,Mismatch,0.6197,No,114988.49
INV00008,VEN00547,Vendor 547,CONT01575,PO9317,2024-03-21,2024-05-20,Milestone Payment,Services rendered - Milestone Payment,121170.99,0,0.0,121170.99,2,2423.42,0,23022.49,141770.06,0.0,Verified,Overdue,,,,597,,Procurement Head,None,14,Mismatch,0.4095,No,141770.06
INV00009,VEN01953,Vendor 1953,CONT01595,PO2290,2024-07-12,2024-08-11,Maintenance Charges,Maintenance Charges - As per contract terms,58764.53,12,7051.74,65816.28,2,1175.29,0,11188.77,75829.75,0.0,Under Review,Overdue,,,,514,,,None,15,Matched,0.3364,No,75829.75
INV00010,VEN01558,Vendor 1558,CONT01091,PO7118,2025-08-31,2025-10-15,Change Order Payment,Change Order Payment - As per contract terms,2974116.17,12,356893.94,3331010.11,10,297411.62,0,0.0,3033598.49,0.0,Cancelled,Rejected,,,,0,,,None,12,,0.0876,No,3033598.49
INV00011,VEN01060,Vendor 1060,CONT00925,PO4750,2025-09-05,2025-10-20,Advance Payment,Services rendered - Advance Payment,59465.42,28,16650.32,76115.73,1,594.65,0,1522.31,77043.39,0.0,Under Review,Overdue,,,,79,,,None,12,Matched,0.1811,No,77043.39
INV00012,VEN01761,Vendor 1761,CONT00677,,2025-10-26,2025-12-10,Retention Release,Equipment rental charges,1464065.63,5,73203.28,1537268.91,10,146406.56,0,0.0,1390862.35,0.0,Disputed,Under Review,,,,0,,,Work Not Completed,4,,0.5027,No,1390862.35
INV00013,VEN00842,Vendor 842,CONT00957,PO5563,2025-11-12,2025-12-12,Progress Payment,Labor charges for project work,2026861.72,0,0.0,2026861.72,1,20268.62,0,0.0,2006593.11,0.0,Under Review,Overdue,,,,26,,,None,3,Partial Match,0.05,No,2006593.11
INV00014,VEN01891,Vendor 1891,CONT00155,PO7570,2024-10-10,2024-11-09,Progress Payment,Equipment rental charges,2932645.72,0,0.0,2932645.72,0,0.0,0,410570.4,3343216.12,0.0,Under Review,Overdue,,,,424,,,None,8,Matched,0.1169,No,3343216.12
INV00015,VEN00800,Vendor 800,CONT00544,PO9883,2024-09-28,2024-11-27,Labor Charges,Labor Charges - As per contract terms,3787273.93,28,1060436.7,4847710.63,5,189363.7,0,0.0,4658346.93,0.0,Rejected,Rejected,,,,0,,,Work Not Completed,1,,0.0122,No,4658346.93
INV00016,VEN00643,Vendor 643,CONT00118,PO5033,2025-11-16,2026-02-14,Professional Services,Services rendered - Professional Services,12966892.03,0,0.0,12966892.03,10,1296689.2,0,0.0,11670202.83,0.0,Approved,Pending,,,,0,2025-11-20,Contract Administrator,None,11,Mismatch,0.4428,No,11670202.83
INV00017,VEN00859,Vendor 859,CONT01347,PO2188,2024-05-19,2024-07-18,Retention Release,Material supply and installation,372286.31,5,18614.32,390900.63,2,7445.73,0,0.0,383454.9,0.0,Cancelled,Rejected,,,,0,,,None,8,,0.0019,No,383454.9
INV00018,VEN01273,Vendor 1273,CONT01154,PO9900,2025-09-26,2025-10-26,Professional Services,Material supply and installation,169340.19,12,20320.82,189661.01,0,0.0,0,3793.22,193454.23,0.0,Under Review,Overdue,,,,73,,,None,3,Mismatch,0.4573,No,193454.23
INV00019,VEN01653,Vendor 1653,CONT01340,PO6617,2024-07-14,2024-08-13,Change Order Payment,Progress billing - Month 12,9490681.28,0,0.0,9490681.28,1,94906.81,0,0.0,9395774.47,9395774.47,Paid,Paid,Cheque,2024-08-17,34.0,0,2024-07-19,Site Engineer,None,5,Matched,0.1375,No,0.0
