negotiation_id,bid_id,tender_id,vendor_id,vendor_name,negotiation_type,item_category,negotiation_start_date,negotiation_end_date,duration_days,negotiation_status,outcome,initial_bid_amount,target_amount,current_offer_amount,final_agreed_amount,savings_amount,savings_pct,num_rounds,num_meetings,negotiation_points,resolved_points,pending_points,strategy,lead_negotiator_buyer,lead_negotiator_vendor,num_stakeholders_buyer,num_stakeholders_vendor,buyer_concessions,vendor_concessions,communication_mode,priority,complexity,buyer_satisfaction,vendor_satisfaction,bottlenecks,bafo_requested,bafo_received,bafo_amount,is_escalated,risk_level,time_pressure,market_impact,has_competing_bids,num_competing_bids,value_at_risk_pct,next_review_date,last_updated,notes,resolution_rate_pct,price_reduction_pct
NEG00001,BID01310,TENDER00058,VEN00052,Vendor 52,Resource Allocation,Electrical Work,2025-09-03,,126,In Progress,Ongoing,262050201.24,229648448.19,261202570.26,,,,4,7,6,2,4,Competitive,Procurement Head,Sales Head,3,4,Additional Services,None,Mixed (Multiple Modes),Medium,Low,,,Technical Requirements,False,False,,False,High,Medium,Neutral,False,0,34.09,2026-01-13,2026-01-06,Delivery schedule revised,33.33,0.32
NEG00002,BID00736,TENDER00434,VEN00705,Vendor 705,Commercial Terms,Electrical Work,2025-12-15,2025-12-31,16,Cancelled,Cancelled,743245197.36,666228042.12,691428186.25,,,,5,4,4,1,3,Assertive,Commercial Manager,Senior Sales Manager,2,4,None,None,In-Person Meeting,High,High,,,None,False,False,,False,High,Medium,Unfavorable,True,6,92.7,,2026-01-04,Escalation required,25.0,6.97
NEG00003,BID00335,TENDER00237,VEN00778,Vendor 778,Performance Guarantee,Material Supply,2025-01-21,2025-02-13,23,Agreement Reached,Successful,358068597.69,312654271.28,356154390.84,338041780.64,20026817.05,5.59,2,5,6,4,2,Assertive,General Manager,Regional Manager,3,2,None,Better Quality,Video Conference,Medium,Medium,92.41,72.85,None,False,False,,False,Low,Medium,Volatile,True,8,1.41,,2026-01-05,Good progress made,66.67,0.53
NEG00004,BID01286,TENDER00082,VEN01623,Vendor 1623,Contract Duration,Construction Services,2025-03-07,2025-04-02,26,Cancelled,Failed,314349871.07,286636180.17,296221046.06,,,,1,9,8,3,5,Assertive,Contracts Manager,Senior Sales Manager,3,1,None,None,Email,Medium,Medium,45.25,35.23,None,False,False,,True,High,Low,Unfavorable,False,0,80.39,,2026-01-03,Payment terms agreed,37.5,5.77
NEG00005,BID00491,TENDER00030,VEN00494,Vendor 494,Commercial Terms,MEP Installation,2025-11-24,,44,On Hold,Ongoing,3793584176.8,3294339677.75,3575895014.77,,,,4,4,11,10,1,Assertive,Commercial Manager,Regional Manager,4,4,None,None,Mixed (Multiple Modes),Low,High,,,None,False,False,,False,Low,Medium,Favorable,False,0,30.84,2026-01-09,2026-01-04,Escalation required,90.91,5.74
NEG00006,BID01206,TENDER00113,VEN00015,Vendor 15,Technical Specification,Civil Works,2025-09-11,,118,Counter Offer Made,Ongoing,321320590.6,304245198.05,316637241.32,,,,4,7,14,13,1,Collaborative,Director - Procurement,Business Development Manager,3,1,None,None,Phone Call,Critical,Very High,,,None,False,False,,False,Low,Low,Favorable,False,0,59.13,2026-01-21,2026-01-04,Good progress made,92.86,1.46
NEG00007,BID00393,TENDER00098,VEN01099,Vendor 1099,Quality Standards,Equipment Supply,2025-06-04,2025-06-29,25,Cancelled,Failed,1325696161.04,1198080927.56,1201121541.51,,,,1,7,15,13,2,Assertive,Procurement Head,Sales Head,2,2,None,None,Video Conference,High,Very High,27.96,43.52,None,False,False,,False,High,Medium,Neutral,False,0,84.35,,2026-01-07,Vendor firm on pricing,86.67,9.4
NEG00008,BID01532,TENDER00161,VEN00118,Vendor 118,Price Negotiation,Consultancy,2025-04-24,,258,On Hold,Ongoing,923417774.29,828201754.21,909783376.87,,,,1,2,4,3,1,Win-Win,Commercial Manager,Director - Sales,5,3,None,Price Reduction,Mixed (Multiple Modes),Low,Medium,,,None,False,False,,False,Medium,Critical,Neutral,False,0,48.29,2026-01-11,2026-01-07,Good progress made,75.0,1.48
NEG00009,BID00939,TENDER00319,VEN01154,Vendor 1154,Technical Specification,MEP Installation,2025-04-06,,276,Awaiting Response,Ongoing,1459194405.2,1347536788.8,1416103130.6,,,,3,5,11,8,3,Compromising,Commercial Manager,Director - Sales,2,2,Additional Services,None,Mixed (Multiple Modes),High,High,,,Technical Requirements,False,False,,False,Low,High,Neutral,False,0,50.22,2026-01-12,2026-01-07,Technical clarifications needed,72.73,2.95
NEG00010,BID00190,TENDER00325,VEN00868,Vendor 868,Performance Guarantee,Civil Works,2026-01-05,2026-01-10,5,Failed,Cancelled,800401769.49,749910852.22,730708032.52,,,,5,1,5,3,2,Competitive,Procurement Head,Senior Sales Manager,4,3,Additional Services,Better Quality,Video Conference,Medium,Low,,,Technical Requirements,True,True,704510063.66,False,High,Critical,Neutral,True,8,83.25,,2026-01-01,Awaiting management approval,60.0,8.71
NEG00011,BID00051,TENDER00092,VEN01509,Vendor 1509,Warranty Terms,Construction Services,2025-01-29,,343,In Progress,Ongoing,1755315251.08,1525237424.5,1744118508.07,,,,4,4,6,2,4,Best and Final Offer,Procurement Head,Director - Sales,2,2,Reduced Penalty,None,Video Conference,High,Medium,,,Authority/Approval Delays,False,False,,False,High,High,Favorable,True,4,37.14,2026-01-13,2026-01-07,Technical clarifications needed,33.33,0.64
NEG00012,BID00223,TENDER00306,VEN00890,Vendor 890,Warranty Terms,HVAC Systems,2025-05-28,,224,Counter Offer Made,Ongoing,3227939839.88,2901458560.95,3186937390.19,,,,1,6,11,10,1,Win-Win,Senior Manager,Sales Head,5,1,None,Additional Features,Video Conference,Low,Medium,,,None,True,False,,False,Medium,Critical,Unfavorable,False,0,57.89,2026-01-16,2026-01-05,Escalation required,90.91,1.27
NEG00013,BID00393,TENDER00216,VEN01362,Vendor 1362,Scope of Work,Equipment Supply,2025-02-25,,316,Awaiting Response,Ongoing,3060973646.9,2783626425.53,2829288539.14,,,,4,3,13,6,7,Best and Final Offer,Director - Procurement,Account Manager,2,3,None,Faster Delivery,Phone Call,Medium,Very High,,,None,True,False,,True,Medium,Medium,Favorable,True,3,69.36,2026-01-20,2026-01-06,Positive discussions,46.15,7.57
NEG00014,BID00933,TENDER00213,VEN01815,Vendor 1815,Contract Duration,Material Supply,2025-01-15,,357,In Progress,Ongoing,414779544.02,377463783.6,410892509.03,,,,4,3,11,6,5,Collaborative,Commercial Manager,Senior Sales Manager,5,3,None,Price Reduction,Phone Call,Low,Medium,,,None,False,False,,False,Medium,Medium,Volatile,False,0,40.37,2026-01-21,2026-01-03,Price gap narrowing,54.55,0.94
NEG00015,BID01569,TENDER00399,VEN01068,Vendor 1068,Quality Standards,Material Supply,2025-08-19,2025-08-28,9,Cancelled,Failed,467878963.6,411099752.34,458556674.61,,,,2,8,5,3,2,Collaborative,Senior Manager,Senior Sales Manager,5,1,None,None,Mixed (Multiple Modes),High,Very High,31.68,43.09,Price Gap Too Large,False,False,,False,High,Low,Unfavorable,False,0,95.07,,2026-01-04,Delivery schedule revised,60.0,1.99
NEG00016,BID01000,TENDER00113,VEN00559,Vendor 559,Scope of Work,Consultancy,2025-12-23,2026-01-14,22,Failed,Failed,419414343.08,370390106.91,401771473.32,,,,5,3,12,9,3,Competitive,Senior Manager,Account Manager,2,3,None,None,Phone Call,High,High,33.64,30.13,Delivery Timeline,False,False,,False,High,Low,Volatile,True,7,90.79,,2026-01-04,Payment terms agreed,75.0,4.21
NEG00017,BID01332,TENDER00036,VEN01600,Vendor 1600,Contract Duration,Civil Works,2025-12-22,,16,On Hold,Partially Successful,1909301118.89,1775772105.55,1860750398.82,,,,1,3,14,6,8,Assertive,Commercial Manager,Director - Sales,4,1,None,Additional Features,In-Person Meeting,Medium,Medium,64.39,67.7,None,True,True,1811782732.14,False,Medium,Low,Unfavorable,True,8,29.52,2026-01-21,2026-01-02,Vendor firm on pricing,42.86,2.54
NEG00018,BID01092,TENDER00220,VEN01355,Vendor 1355,Warranty Terms,MEP Installation,2025-04-22,2025-05-31,39,Finalized,Successful,3413944643.26,3238928037.06,3361731948.5,3337633605.9,76311037.36,2.24,7,8,5,4,1,Win-Win,Commercial Manager,Director - Sales,5,3,Reduced Penalty,Faster Delivery,Phone Call,High,Low,94.92,62.6,Technical Requirements,False,False,,False,Medium,High,Favorable,False,0,25.53,,2025-12-31,Awaiting management approval,80.0,1.53
NEG00019,BID00435,TENDER00182,VEN01634,Vendor 1634,Performance Guarantee,HVAC Systems,2025-08-16,,144,Awaiting Response,Ongoing,4461439908.91,3925538996.75,4328955369.26,,,,1,8,10,6,4,Collaborative,General Manager,Director - Sales,2,1,None,None,Phone Call,High,Medium,,,None,False,False,,False,Medium,Critical,Unfavorable,False,0,69.87,2026-01-18,2026-01-02,Escalation required,60.0,2.97
NEG00020,BID00721,TENDER00360,VEN00930,Vendor 930,Performance Guarantee,Electrical Work,2025-08-31,,129,On Hold,Ongoing,269011139.23,236157230.3,266936103.49,,,,2,4,14,9,5,Win-Win,Senior Manager,Regional Manager,4,2,Additional Services,None,In-Person Meeting,High,Medium,,,None,True,False,,False,Low,High,Neutral,False,0,34.1,2026-01-08,2026-01-03,Vendor firm on pricing,64.29,0.77
NEG00021,BID00962,TENDER00246,VEN00903,Vendor 903,Warranty Terms,Equipment Supply,2025-12-11,2026-01-05,25,Failed,Failed,1636152757.22,1413354078.9,1590275529.75,,,,5,7,5,4,1,Win-Win,Procurement Head,Business Development Manager,6,2,Extended Payment Terms,Price Reduction,Mixed (Multiple Modes),Medium,Medium,33.52,33.28,Payment Terms Dispute,False,False,,True,High,Low,Neutral,True,4,93.21,,2026-01-04,Awaiting management approval,80.0,2.8
NEG00022,BID00356,TENDER00283,VEN00154,Vendor 154,Delivery Schedule,Civil Works,2025-06-11,,210,Counter Offer Made,Ongoing,1010906668.31,900332565.21,987599494.33,,,,4,4,7,5,2,Competitive,General Manager,Business Development Manager,3,3,Advance Payment,None,Mixed (Multiple Modes),Medium,Low,,,None,False,False,,False,Medium,Critical,Favorable,False,0,57.55,2026-01-17,2026-01-03,Delivery schedule revised,71.43,2.31
NEG00023,BID01025,TENDER00277,VEN01012,Vendor 1012,Quality Standards,MEP Installation,2025-03-06,,307,In Progress,Ongoing,679373528.83,616053968.57,664095122.72,,,,2,9,3,2,1,Win-Win,Director - Procurement,Account Manager,5,3,Reduced Penalty,Extended Warranty,Phone Call,High,Very High,,,None,False,False,,True,Medium,Critical,Unfavorable,False,0,56.81,2026-01-15,2026-01-02,Awaiting management approval,66.67,2.25
NEG00024,BID00844,TENDER00356,VEN01015,Vendor 1015,Performance Guarantee,Construction Services,2025-03-31,2025-04-10,10,Finalized,Successful,266054834.56,250409219.48,258998434.6,258577266.34,7477568.22,2.81,8,1,9,3,6,Win-Win,Director - Procurement,Director - Sales,3,3,None,Better Quality,Phone Call,Medium,Medium,83.14,80.95,None,True,True,258577266.34,False,High,Low,Volatile,True,3,29.77,,2025-12-31,Good progress made,33.33,2.65
NEG00025,BID01940,TENDER00061,VEN01327,Vendor 1327,Delivery Schedule,Consultancy,2025-08-10,,150,Awaiting Response,Ongoing,533428414.32,492171732.69,521916800.09,,,,4,7,6,5,1,Assertive,Commercial Manager,Director - Sales,4,3,None,Price Reduction,Email,Medium,Medium,,,Authority/Approval Delays,False,False,,False,Low,Critical,Volatile,False,0,43.3,2026-01-21,2026-01-01,Escalation required,83.33,2.16
NEG00026,BID00933,TENDER00478,VEN00660,Vendor 660,Payment Terms,Material Supply,2025-03-20,2025-04-15,26,Failed,Cancelled,413822306.48,357707464.75,405357691.14,,,,4,8,10,9,1,Best and Final Offer,General Manager,Business Development Manager,2,4,None,Free Training,In-Person Meeting,Critical,Low,,,None,True,True,392702271.62,False,High,High,Unfavorable,False,0,93.0,,2026-01-01,Payment terms agreed,90.0,2.05
NEG00027,BID01955,TENDER00163,VEN01284,Vendor 1284,Resource Allocation,Consultancy,2025-04-04,,278,Awaiting Response,Ongoing,84104144.85,79323490.76,83904639.13,,,,1,6,14,12,2,Accommodating,Procurement Head,Senior Sales Manager,2,3,None,Price Reduction,In-Person Meeting,High,Medium,,,None,False,False,,False,Low,Medium,Neutral,True,6,64.83,2026-01-17,2026-01-04,Positive discussions,85.71,0.24
NEG00028,BID01020,TENDER00468,VEN01195,Vendor 1195,Delivery Schedule,Material Supply,2025-05-15,2025-05-25,10,Failed,Cancelled,656009399.45,593060672.76,654019890.85,,,,5,4,12,6,6,Competitive,Senior Manager,Regional Manager,5,4,Reduced Penalty,None,Email,Critical,Medium,,,None,False,False,,False,High,High,Favorable,False,0,85.49,,2026-01-07,Positive discussions,50.0,0.3
