record_id,vendor_id,project_id,contract_id,metric_type,prediction_date,forecast_date,prediction_horizon,historical_period_months,predicted_score,confidence_level,risk_probability,risk_category,on_time_delivery_prob,quality_compliance_prob,cost_overrun_prob,model_name,model_accuracy,top_features,recommendation,actual_outcome,prediction_accuracy,data_quality_score,num_data_points,last_updated
PRED00001,VEN01019,,CONT00862,Budget Forecast,2026-01-07,2026-07-06,6 Months,12,59.27,75.3,0.2036,Low,0.8247,0.8651,0.2036,XGBoost,0.783,"Resource Availability, Project Complexity, Delivery Record, Team Experience, Payment History",Continue as planned,Slightly Worse,0.6705,0.8067,649,2026-01-07 04:24:47
PRED00002,VEN01522,,CONT01508,Contract Risk,2026-01-07,2027-01-07,12 Months,24,12.69,87.13,0.8731,Critical,0.7549,0.8665,0.311,Logistic Regression,0.9311,"Payment History, Resource Availability, Team Experience, Vendor Rating, Past Performance",Revise timeline,Risk Occurred,0.7655,0.7641,62,2026-01-04 04:24:47
PRED00003,VEN01044,,CONT01733,Budget Forecast,2026-01-07,2027-01-07,12 Months,3,64.54,85.92,0.1773,Very Low,0.7341,0.8779,0.1773,Ensemble Model,0.8566,"Delivery Record, Team Experience, Project Complexity, Seasonal Factors, Payment History",Continue as planned,,,0.7987,1901,2026-01-05 04:24:47
PRED00004,VEN00275,,CONT01566,Compliance Risk,2026-01-07,2027-01-07,12 Months,24,82.34,78.03,0.2261,Low,0.7338,0.7449,0.141,Random Forest Classifier,0.8648,"Market Conditions, Technology Used, Delivery Record, Vendor Rating, Contract Value",Continue as planned,Better than Expected,0.9184,0.8494,335,2026-01-04 04:24:47
PRED00005,VEN01457,PROJ01088,,Payment Prediction,2026-01-07,2027-01-07,12 Months,36,84.95,87.21,0.1882,Very Low,0.8351,0.8623,0.3745,Neural Network,0.8217,"Technology Used, Team Experience, Seasonal Factors, Market Conditions, Project Complexity",Standard monitoring,,,0.9321,2598,2025-12-31 04:24:47
PRED00006,VEN01542,PROJ01804,CONT01437,Schedule Forecast,2026-01-07,2026-04-07,3 Months,36,84.21,72.35,0.0585,Very Low,0.8831,0.8225,0.1601,Neural Network,0.7883,"Contract Value, Quality Score, Resource Availability, Payment History, Team Experience",No action required,Slightly Worse,0.7131,0.9028,609,2026-01-01 04:24:47
PRED00007,VEN00441,PROJ01529,CONT01789,Schedule Forecast,2026-01-07,2026-07-06,6 Months,36,41.65,84.04,0.2161,Low,0.5678,0.7386,0.4141,Gradient Boosting,0.8749,"Contract Value, Technology Used, Market Conditions, Delivery Record, Resource Availability",Continue as planned,,,0.8955,473,2026-01-06 04:24:47
PRED00008,VEN01268,,,Compliance Risk,2026-01-07,2027-01-07,12 Months,6,66.84,72.33,0.5576,Medium,0.775,0.8973,0.2106,Ensemble Model,0.9312,"Seasonal Factors, Resource Availability, Team Experience, Contract Value, Technology Used",Preventive action,As Predicted,0.8526,0.8765,1060,2026-01-07 04:24:47
PRED00009,VEN01616,,CONT00365,Payment Prediction,2026-01-07,2027-01-07,12 Months,36,52.42,72.01,0.1429,Very Low,0.7465,0.8141,0.1198,Ensemble Model,0.8482,"Past Performance, Seasonal Factors, Quality Score, Resource Availability, Contract Value",No action required,,,0.9043,164,2026-01-07 04:24:47
PRED00010,VEN00004,PROJ01293,CONT01055,Compliance Risk,2026-01-07,2026-04-07,3 Months,12,56.58,71.84,0.5289,Medium,0.8699,0.732,0.4411,LSTM,0.8496,"Quality Score, Technology Used, Delivery Record, Vendor Rating, Payment History",Preventive action,Better than Expected,0.8649,0.7786,3857,2026-01-05 04:24:47
