project_id,project_name,project_type,location,client_name,contract_id,project_start_date,planned_end_date,actual_end_date,planned_duration_months,actual_duration_months,delay_months,project_status,current_phase,progress_pct,planned_budget,actual_cost,remaining_budget,budget_utilization_pct,team_size,num_vendors,num_purchase_orders,num_contracts,num_change_orders,total_milestones,achieved_milestones,open_issues,resolved_issues,risk_level,risk_score,quality_score,safety_score,stakeholder_satisfaction,resource_utilization_pct,schedule_performance_index,cost_performance_index,env_compliance_score,project_manager,sponsor,last_updated,notes,milestone_completion_pct,schedule_variance,cost_variance_pct
PROJ00001,Warehouse - Delhi NCR Phase 1,Warehouse,"Nagpur, Maharashtra",Client Group,CONT00286,2025-06-11,2027-04-02,,22,,,On Hold,Foundation,47.71,278020955.74,130653837.82,147367117.92,46.99,174,6,337,4,2,16,7,11,53,High,0.5661,77.68,93.33,30.26,98.29,0.934,0.969,72.9,Anita Desai,VP - Infrastructure,2026-01-02,Environmental clearance pending,43.75,-6.6,-3.1
PROJ00002,Port Development - Indore Phase 1,Port Development,"Nagpur, Maharashtra",Client Developers,CONT01993,2023-11-23,2024-12-17,,13,,,Delayed,Handover,97.44,1737243110.59,1754749102.38,-17505991.79,101.01,200,9,73,4,19,21,20,10,56,Critical,0.8956,85.66,95.33,45.21,68.38,0.68,0.934,89.44,Priya Singh,CEO,2026-01-05,Stakeholder concerns,95.24,-32.0,-6.6
PROJ00003,Airport Development - Bangalore Phase 2,Airport Development,"Ahmedabad, Gujarat",Client Group,CONT01311,2024-10-14,2028-05-26,,44,,,In Progress,Foundation,54.65,23052415416.0,12094218187.92,10958197228.08,52.46,780,50,211,4,9,28,15,7,81,Medium,0.3496,86.54,87.5,55.0,77.14,0.996,1.022,99.92,Anita Desai,Regional Head,2026-01-05,Stakeholder concerns,53.57,-0.4,2.2
PROJ00004,Hotel & Resort - Delhi NCR Phase 1,Hotel & Resort,"Kochi, Kerala",Client Pvt Ltd,,2025-02-13,2027-02-03,,24,,,On Hold,Structural Work,47.89,1232188013.89,602047718.87,630140295.02,48.86,84,40,490,1,1,10,4,9,65,Medium,0.7045,76.11,74.34,55.64,98.15,1.069,1.003,85.02,Priya Singh,Managing Director,2026-01-05,Stakeholder concerns,40.0,6.9,0.3
PROJ00005,Infrastructure - Kochi Phase 3,Infrastructure,"Chennai, Tamil Nadu",Client Infrastructure Ltd,CONT00314,2023-12-03,2025-11-22,,24,,,Near Completion,Handover,99.53,1845137639.35,1909729261.15,-64591621.8,103.5,145,6,107,6,28,25,24,7,18,Critical,0.6718,67.23,84.86,52.76,97.87,0.891,0.832,88.2,Priya Singh,VP - Infrastructure,2026-01-04,Stakeholder concerns,96.0,-10.9,-16.8
PROJ00006,Data Center - Hyderabad Phase 3,Data Center,"Chennai, Tamil Nadu",Client Developers,CONT01331,2023-12-04,2026-07-21,,32,,,Near Completion,MEP Installation,63.63,742362568.08,490432500.99,251930067.09,66.06,78,42,162,1,15,25,15,4,75,Very Low,0.4539,61.77,67.36,51.1,68.57,0.883,1.137,87.13,Suresh Patel,CEO,2025-12-31,Awaiting approvals,60.0,-11.7,13.7
PROJ00007,Hotel & Resort - Indore Phase 2,Hotel & Resort,"Hyderabad, Telangana",Client Pvt Ltd,,2023-08-08,2024-12-30,2025-03-17,17,19.6,2.6,Closed,Handover,92.01,1969913901.6,1919886889.65,50027011.94,97.46,123,26,459,2,19,13,11,0,19,Very Low,0.1958,86.09,69.91,67.34,62.02,1.05,1.117,99.07,Arun Mehta,General Manager,2026-01-04,Budget constraints,84.62,5.0,11.7
PROJ00008,Shopping Mall - Kolkata Phase 2,Shopping Mall,"Hyderabad, Telangana",Client Developers,CONT00338,2023-11-22,2025-05-15,2025-06-03,18,18.6,0.6,Closed,Handover,98.9,3634661766.2,4116713614.69,-482051848.49,113.26,162,47,417,8,6,25,24,0,17,High,0.657,76.53,67.05,89.43,80.11,1.021,0.739,98.82,Amit Kumar,General Manager,2026-01-06,Budget constraints,96.0,2.1,-26.1
PROJ00009,Industrial Facility - Jaipur Phase 1,Industrial Facility,"Lucknow, Uttar Pradesh",Client Corporation,CONT01929,2024-08-20,2027-08-05,,36,,,On Hold,Foundation,48.58,6253050603.62,3124149394.58,3128901209.04,49.96,233,18,392,6,1,27,13,5,68,Medium,0.5797,63.93,87.59,48.29,68.53,0.916,1.137,96.43,Rajesh Sharma,Director - Projects,2026-01-04,Weather delays,48.15,-8.4,13.7
PROJ00010,Power Plant - Bangalore Phase 2,Power Plant,"Kochi, Kerala",Client Infrastructure Ltd,CONT01253,2023-01-19,2024-07-12,,18,,,Delayed,Warranty,89.49,47251850176.72,41023497672.57,6228352504.14,86.82,318,11,430,9,25,11,9,5,74,High,0.6817,78.14,90.12,38.14,63.69,0.727,1.005,70.11,Arun Mehta,CEO,2026-01-05,,81.82,-27.3,0.5
