po_number,vendor_id,vendor_name,contract_id,item_category,item_description,quantity_ordered,quantity_delivered,unit,unit_price,total_amount,gst_rate,gst_amount,discount_pct,discount_amount,total_with_gst,final_amount,amount_paid,outstanding_amount,po_date,acknowledgment_date,expected_delivery_date,actual_delivery_date,days_to_deliver,delay_days,po_status,delivery_status,quality_rating,payment_terms,delivery_terms,incoterms,delivery_location,priority,amendment_count,compliance_status,buyer_name,approver_name,cancellation_reason,notes,delivery_completion_pct,payment_completion_pct
PO00001,VEN01310,Vendor 1310,,Concrete Mixers,Concrete Mixers - Grade C,5839,3390,Kg,394.99,2306361.05,5,115318.05,0.0,0.0,2421679.1,2421679.1,1203006.44,1218672.66,2024-10-31,2024-11-07,2024-12-08,2025-01-31,92.0,54,Partially Delivered,Delayed,Average,Net 90 days,Ex-Factory,EXW,Main Office,Medium,3,Pending,Purchase Manager,Senior Manager,,As per contract terms,58.06,49.68
PO00002,VEN00441,Vendor 441,CONT00690,TMT Bars,TMT Bars - Grade A,7817,4156,Nos,4475.33,34983681.93,18,6297062.75,0.0,0.0,41280744.68,41280744.68,20460516.04,20820228.64,2025-11-23,2025-11-24,2026-04-19,2026-05-20,178.0,31,Partially Delivered,Delayed,Not Rated,Net 90 days,CIF,FOB,Distribution Center,Medium,2,Pending,Purchase Manager,General Manager,,Vendor confirmed delivery,53.17,49.56
PO00003,VEN00334,Vendor 334,CONT00430,Safety Equipment,Safety Equipment - Grade C,449,449,Pieces,3856.61,1731617.38,28,484852.87,0.0,0.0,2216470.25,2216470.25,2216470.25,0.0,2025-07-23,2025-07-28,2025-12-18,2025-12-10,140.0,0,Completed,Delivered,Good,Net 30 days,FCA,DAP,Distribution Center,Medium,0,Compliant,Contracts Manager,CFO,,Amendment requested,100.0,100.0
PO00004,VEN00293,Vendor 293,CONT00506,Concrete Mixers,Concrete Mixers - Grade Standard,8509,8509,Feet,9973.53,84864725.94,5,4243236.3,0.0,0.0,89107962.24,89107962.24,89107962.24,0.0,2025-01-01,2025-01-06,2025-03-28,2025-03-19,77.0,0,Delivered,On Time,Below Average,Net 60 days,Ex-Works,DAP,Site A - Mumbai,Medium,0,Compliant,Project Manager,Vice President,,Quality inspection mandatory,100.0,100.0
PO00005,VEN01397,Vendor 1397,CONT01538,PVC Pipes,PVC Pipes - Grade C,24,14,Nos,5126.05,123025.17,0,0.0,4.39,5397.8,123025.17,117627.36,67497.43,50129.93,2024-08-12,2024-08-16,2024-10-26,2024-10-30,79.0,4,Partially Delivered,Partially Delivered,Average,Net 60 days,Door Delivery,EXW,Main Office,Low,1,Pending,Procurement Head,General Manager,,Partial delivery acceptable,58.33,57.38
PO00006,VEN00119,Vendor 119,CONT01162,Aggregates,Aggregates - Grade A,135,135,Cubic Meter,1734.76,234192.18,28,65573.81,5.39,12611.49,299765.99,287154.5,287154.5,0.0,2024-09-07,2024-09-10,2025-02-24,2025-04-19,224.0,54,Delivered,Delayed,Average,Cash on Delivery,DDP,DDP,Warehouse - Pune,Medium,1,Compliant,Project Manager,Vice President,,Vendor confirmed delivery,100.0,100.0
PO00007,VEN00044,Vendor 44,CONT00472,Gypsum Boards,Gypsum Boards - Grade B,136,38,Kg,801.49,109002.34,5,5450.12,0.0,0.0,114452.45,114452.45,30601.82,83850.64,2025-12-05,2025-12-07,2026-03-29,2026-03-30,115.0,1,Partially Delivered,Partially Delivered,Not Rated,30-60-90 days,Ex-Factory,CIF,Project Site,Low,2,Pending,Procurement Head,General Manager,,Awaiting quality approval,27.94,26.74
PO00008,VEN00842,Vendor 842,CONT01494,Bricks,Bricks - Grade A,306,306,Liters,4541.27,1389629.88,18,250133.38,0.0,0.0,1639763.26,1639763.26,1639763.26,0.0,2025-06-26,2025-06-27,2025-12-10,2025-12-04,161.0,0,Completed,Delivered,Good,Progress Payment,CIF,FOB,Distribution Center,Medium,1,Compliant,Procurement Head,Director,,Awaiting quality approval,100.0,100.0
PO00009,VEN01849,Vendor 1849,,Solar Panels,Solar Panels - Grade A,974,974,Units,54181.62,52772894.09,5,2638644.7,6.63,3500659.49,55411538.79,51910879.3,51910879.3,0.0,2024-08-26,2024-08-27,2024-11-03,2024-11-28,94.0,25,Completed,Delivered,Excellent,30-60-90 days,Ex-Factory,EXW,Site B - Delhi,Low,1,Compliant,Site Engineer,General Manager,,Partial delivery acceptable,100.0,100.0
PO00010,VEN00827,Vendor 827,,Insulation Material,Insulation Material - Grade B,3536,3536,Truckloads,2122.17,7503979.24,12,900477.51,0.0,0.0,8404456.75,8404456.75,8404456.75,0.0,2025-02-17,2025-02-18,2025-05-24,2025-06-16,119.0,23,Completed,Delivered,Good,Net 45 days,FOB,DAP,Main Office,Medium,1,Compliant,Procurement Head,Vice President,,Vendor confirmed delivery,100.0,100.0
