rfq_id,vendor_id,vendor_name,item_category,item_description,quantity,unit,rfq_date,submission_deadline,response_date,is_late_submission,quoted_price_per_unit,total_quoted_amount,gst_rate,gst_amount,total_with_gst,delivery_timeline_days,delivery_terms,payment_terms,warranty_months,technical_score,commercial_score,overall_score,response_status,rejection_reason,compliance_status,evaluation_date,award_date,rank,num_competitors,anomaly_score,is_anomaly,validity_days,contact_person,notes,market_avg_price,price_deviation_pct
RFQ00001,VEN01310,Vendor 1310,Structural Steel,Structural Steel - Grade A,5839,Kg,2024-10-31,2024-11-08,2024-11-04,False,2621.58,15307431.19,28,4286080.73,19593511.93,179,DDP,Bank Guarantee,24,90.47,60.13,78.33,Under Evaluation,None,Fully Compliant,2024-11-17,,,16,0.1021,No,45,Business Development Head,Meets all specifications,5883.03,-55.438269055231736
RFQ00002,VEN00210,Vendor 210,Aggregates,Aggregates - Grade Premium,933,Ton,2024-09-23,2024-10-17,2024-10-06,False,851.32,794278.5,28,222397.98,1016676.48,18,FOB,Against Delivery,18,88.65,89.78,89.1,Negotiation,None,Fully Compliant,2024-10-21,,,6,0.114,No,90,Account Manager,Good technical compliance,4608.13,-81.52569480461706
RFQ00003,VEN00759,Vendor 759,Transformers,Transformers - Grade B,5584,Square Meter,2025-05-01,2025-05-13,2025-05-06,False,219114.29,1223534193.21,28,342589574.1,1566123767.3,51,FOB,"Advance 30%, Balance 70%",48,63.39,46.33,56.56,Withdrawn,None,Partially Compliant,,,,13,0.0638,No,90,Senior Manager,Price negotiable,132760.91999999998,65.04426905146487
RFQ00004,VEN00293,Vendor 293,Copper Pipes,Copper Pipes - Grade B,7152,Units,2024-11-24,2024-12-12,2024-11-29,False,4559.73,32611190.76,0,0.0,32611190.76,110,CIF,LC at Sight,48,79.79,92.02,84.68,Shortlisted,None,Partially Compliant,2024-12-09,,1.0,6,0.2045,No,120,Director,Meets all specifications,7467.32,-38.93753046608422
RFQ00005,VEN00229,Vendor 229,Electrical Cables,Electrical Cables - Grade Premium,7157,Square Meter,2024-08-05,2024-08-15,2024-08-20,True,8880.0,63554158.97,5,3177707.95,66731866.92,11,FCA,Bank Guarantee,0,55.59,67.26,60.26,Withdrawn,None,Non-Compliant,,,,12,0.0718,No,45,Regional Manager,Fast delivery timeline,5397.135,64.5317376719315
RFQ00006,VEN01499,Vendor 1499,Sanitary Ware,Sanitary Ware - Grade A,8893,Square Meter,2025-04-10,2025-05-03,2025-05-10,True,11784.68,104801131.38,5,5240056.57,110041187.95,72,Ex-Factory,Progress Payment,60,56.05,46.74,52.33,Rejected,Late Submission,Non-Compliant,,,,20,0.546,Yes,30,Sales Manager,Competitive pricing,6706.465,75.72118843533814
RFQ00007,VEN00469,Vendor 469,Sand,Sand - Grade A,1974,Liters,2025-08-24,2025-09-23,2025-10-03,True,5498.01,10853074.85,18,1953553.47,12806628.32,102,FCA,LC at Sight,48,73.35,85.94,78.39,Rejected,Late Submission,Partially Compliant,,,,6,0.0182,No,60,Sales Manager,,5310.355,3.53375621780466
RFQ00008,VEN00390,Vendor 390,Roofing Sheets,Roofing Sheets - Grade Premium,316,Kg,2024-10-10,2024-11-03,2024-10-31,False,11835.7,3740080.19,0,0.0,3740080.19,152,DDP,LC at Sight,0,58.23,40.06,50.96,Rejected,High Price,Non-Compliant,,,,17,0.357,No,120,Account Manager,Good technical compliance,5080.91,132.94449222678617
RFQ00009,VEN00389,Vendor 389,Electrical Cables,Electrical Cables - Grade B,876,Ton,2025-11-16,2025-12-11,2025-12-03,False,2047.21,1793355.45,0,0.0,1793355.45,32,Delivered to Site,Net 45 days,18,78.95,41.19,63.84,Under Evaluation,None,Partially Compliant,2025-12-15,,,19,0.5633,No,45,Account Manager,Established vendor,5397.135,-62.068578977550125
RFQ00010,VEN00544,Vendor 544,HVAC Units,HVAC Units - Grade B,95,MT,2024-09-24,2024-10-20,2024-10-22,True,775961.63,73716354.87,12,8845962.58,82562317.45,59,FCA,"Advance 20%, Balance 80%",12,71.91,83.15,76.4,Rejected,Late Submission,Partially Compliant,,,,19,0.0023,No,120,Director,Fast delivery timeline,3493273.02,-77.78697440602568
RFQ00011,VEN01923,Vendor 1923,Reinforcement Steel,Reinforcement Steel - Grade C,880,Bags,2025-06-05,2025-07-04,2025-06-27,False,6095.69,5364206.39,18,965557.15,6329763.54,15,Delivered to Site,"Advance 20%, Balance 80%",0,50.18,86.57,64.73,Negotiation,None,Non-Compliant,2025-07-03,,,8,0.2224,No,120,Account Manager,Competitive pricing,5155.35,18.240080692872436
